authorId,organization,type
1699123,CNL,Company
1694682,UB,University
35130860,UPC,University
2648502,UB,University
143937271,UPC,University
2459574,UPC,University
34902506,CNL,Company
1739121,UPC,University
31569810,UB,University
2475581,UPC,University
3070123,CNL,Company
48751950,CNL,Company
1850433,UPC,University
2676786,CNL,Company
3161108,UPC,University
144575498,UPC,University
144906566,CNL,Company
2234152,UPC,University
2329346,UB,University
1767158,UB,University
2660989,UB,University
2411855,UB,University
2116670,UB,University
143716423,UPC,University
103323728,CNL,Company
26140989,UPC,University
2127863,UPC,University
1806872,UPC,University
36117975,UB,University
2454662,CNL,Company
3071254,UB,University
152698342,UPC,University
2199747,UB,University
1685700,CNL,Company
1932381,UPC,University
144510301,CNL,Company
145062539,UPC,University
50318619,UPC,University
36441177,UB,University
49612242,UB,University
3447662,UPC,University
143745506,CNL,Company
2749054,CNL,Company
2067393,UPC,University
1794462,CNL,Company
1793331,UB,University
143667339,UB,University
120590197,UB,University
1681385,UB,University
3077861,CNL,Company
2366512,UPC,University
2466262,UB,University
1787208,UB,University
50114055,UB,University
30021084,UB,University
1801870,UB,University
2331550,UB,University
145011119,CNL,Company
120216042,CNL,Company
4979280,UB,University
91996651,UPC,University
48265605,CNL,Company
1410249306,CNL,Company
35419451,UB,University
35666832,UPC,University
81406882,UPC,University
70494460,UPC,University
2848065,CNL,Company
34867452,UPC,University
5316158,UB,University
40237089,CNL,Company
39792786,UPC,University
49583788,UPC,University
2377548,UB,University
2323180,CNL,Company
35930727,UB,University
47156058,UB,University
2327507,CNL,Company
1743680,CNL,Company
143864583,UB,University
2722896,CNL,Company
3048676,CNL,Company
1714586,CNL,Company
1985191,UB,University
71372341,UB,University
1935922,UB,University
144761211,UPC,University
1987805,UB,University
2739680,UB,University
50316918,CNL,Company
144861543,UB,University
66700107,UB,University
1743654923,UB,University
143800407,UB,University
3421937,UPC,University
1880150,UPC,University
14206025,CNL,Company
2843591,CNL,Company
1399993281,UB,University
145986299,UPC,University
70428007,CNL,Company
50762581,CNL,Company
34903197,UB,University
2762256,UPC,University
47645655,CNL,Company
2467987,UB,University
2189818,UB,University
50491603,CNL,Company
70119721,CNL,Company
39688836,UPC,University
47656531,CNL,Company
3085791,UB,University
47299183,UPC,University
1735679,UPC,University
34854756,UPC,University
143782792,UB,University
98814728,UPC,University
144108473,CNL,Company
3264527,UB,University
1724429,UB,University
11148530,UB,University
1731564,UB,University
4969584,CNL,Company
2452152,UPC,University
1896180,UB,University
2506455,UB,University
2680934,UB,University
2742371,UPC,University
2462230,UPC,University
1905054,UPC,University
40490360,UB,University
143805430,UB,University
144299316,UPC,University
145593085,CNL,Company
34792559,CNL,Company
3490136,UPC,University
2799331,UB,University
3291766,UB,University
2005808671,CNL,Company
1807669,UB,University
2466994,CNL,Company
2871029,CNL,Company
48217539,CNL,Company
2537992,CNL,Company
46193151,CNL,Company
145531067,UB,University
1718694,UB,University
1684181,UPC,University
3223655,CNL,Company
2560301,UB,University
144194990,UB,University
3218874,UPC,University
47763785,UPC,University
40474014,UPC,University
1765792,UPC,University
144244615,UB,University
1741532,UB,University
34681128,UPC,University
1965305,CNL,Company
37530887,UPC,University
1700728,CNL,Company
1725317,UPC,University
2702080,UB,University
1986353594,UPC,University
2570127,CNL,Company
2275945,UB,University
1681854,UPC,University
153429589,UB,University
1698909,UPC,University
143719881,UPC,University
1726575,CNL,Company
50109694,UPC,University
32127344,UPC,University
144559083,CNL,Company
1713195,UB,University
1711137,UB,University
46398799,UB,University
3003194,UB,University
1780276,UPC,University
1743987,UB,University
1853762,UPC,University
2050083,CNL,Company
1714929,UB,University
143698752,CNL,Company
2728145,UPC,University
2031079,UPC,University
2875288,CNL,Company
34056980,UPC,University
152415862,UB,University
9225810,UB,University
47246229,UB,University
144698833,UPC,University
48352323,UB,University
2565826,CNL,Company
2847012,UB,University
144442705,UPC,University
3303190,UPC,University
1727747,CNL,Company
33112995,UPC,University
1908974,CNL,Company
3163939,UPC,University
50444982,UPC,University
1808774,CNL,Company
2423006,CNL,Company
2170979,UPC,University
70157323,CNL,Company
2423345,CNL,Company
1728262,CNL,Company
1735381,UB,University
2890566,UB,University
47422488,CNL,Company
1802874,UB,University
2088287,UB,University
145942203,CNL,Company
47871859,CNL,Company
1751341,UB,University
1768192,UB,University
1734679,CNL,Company
2909990,UB,University
2864600,CNL,Company
1737891,CNL,Company
50634959,CNL,Company
32651918,UPC,University
143804268,UB,University
1765524,CNL,Company
2798142,CNL,Company
2489626,UB,University
50579975,UB,University
3356161,UB,University
39016718,CNL,Company
144233921,UB,University
8069110,UB,University
33006924,UB,University
50568998,CNL,Company
31002656,CNL,Company
1388394865,CNL,Company
1785624,CNL,Company
1709893,UB,University
1720384,UB,University
1731715,CNL,Company
143676942,CNL,Company
1718549,CNL,Company
145552986,UPC,University
145948916,UPC,University
1720318,CNL,Company
21193778,UPC,University
11896394,UPC,University
3524766,UPC,University
122755020,CNL,Company
1387449174,UB,University
3189885,UPC,University
31521092,CNL,Company
1409123550,UB,University
144752813,UB,University
40996639,UB,University
1745825,UB,University
1768284,CNL,Company
34891224,UPC,University
1750690,CNL,Company
1803195,UPC,University
2746298,CNL,Company
31016022,CNL,Company
1758472,UB,University
2789756,UB,University
47372580,CNL,Company
143823065,CNL,Company
49371003,CNL,Company
2236416,UPC,University
3220066,UB,University
1805413,UB,University
1724379,UB,University
1802864,UB,University
144394050,UPC,University
143626910,CNL,Company
145560736,UB,University
2759533,UB,University
36626057,UPC,University
144081368,UB,University
145235707,UPC,University
2074415,CNL,Company
145451469,CNL,Company
39617629,CNL,Company
40282454,CNL,Company
32848524,UB,University
48423997,UB,University
3272107,UB,University
143864760,UB,University
40183413,CNL,Company
2121929,UB,University
48243636,UB,University
2863557,UPC,University
10691943,CNL,Company
145826200,UPC,University
144047110,UPC,University
3159390,UPC,University
1732161,CNL,Company
39027080,UPC,University
1680313,CNL,Company
1751929,UB,University
46597552,UPC,University
33449912,UB,University
2199037,CNL,Company
1398751915,UB,University
1751487,CNL,Company
70811076,CNL,Company
1724595,UPC,University
2215457,UPC,University
1659149698,UPC,University
2085129,UPC,University
1734537,CNL,Company
31543953,CNL,Company
33962587,UB,University
40622343,UB,University
145675285,UB,University
7322223,CNL,Company
47319515,UPC,University
1687807,UPC,University
1711470,CNL,Company
143766546,CNL,Company
1740408,CNL,Company
1760047,UB,University
1680144,CNL,Company
1708142,UB,University
50781272,UB,University
144933549,CNL,Company
49109799,UB,University
49869907,CNL,Company
2260043,CNL,Company
1933704,CNL,Company
49268265,CNL,Company
1783747,UB,University
145744804,UB,University
11152076,UB,University
9147743,UPC,University
1728162,UPC,University
1718193,UB,University
49044591,CNL,Company
38542228,CNL,Company
1705218,UB,University
1963419,CNL,Company
2929802,UB,University
144421515,CNL,Company
1705507,CNL,Company
33633487,UB,University
2299693,UB,University
37142568,UPC,University
40073506,UPC,University
2332034,CNL,Company
84509208,UPC,University
1757605,UPC,University
1737679,CNL,Company
143938938,CNL,Company
1884363,CNL,Company
49372268,UB,University
1683838,CNL,Company
3164974,UPC,University
144742870,UB,University
145770133,CNL,Company
48379623,CNL,Company
19262604,UPC,University
1966497,CNL,Company
2873542,UPC,University
1882475,UPC,University
2493841,CNL,Company
23627029,UB,University
145314157,UPC,University
2957256,UB,University
40447220,UB,University
143688288,UPC,University
3229523,UB,University
46285994,UB,University
47627049,UPC,University
51086784,UPC,University
3421761,UPC,University
3311504,CNL,Company
1699765,CNL,Company
39966128,UB,University
34309103,UPC,University
144082988,CNL,Company
3232261,CNL,Company
144904018,CNL,Company
49661129,UB,University
70413937,CNL,Company
47949267,CNL,Company
145323381,CNL,Company
7536211,CNL,Company
1801384,UPC,University
49292319,CNL,Company
48805937,UPC,University
2864434,UPC,University
115552532,UPC,University
2340543,UB,University
3148280,CNL,Company
1988680,CNL,Company
2357985,CNL,Company
104790435,CNL,Company
145035197,UB,University
2169968,CNL,Company
46475168,UB,University
3030356,CNL,Company
47464780,UPC,University
49528566,UPC,University
153146844,UPC,University
50290262,UB,University
47179896,UPC,University
144647539,UB,University
27546590,UPC,University
1987809,UPC,University
1710759,UPC,University
1714083,CNL,Company
1398059769,CNL,Company
19491128,UPC,University
46958543,UPC,University
1682569,UPC,University
30572523,UPC,University
48146524,CNL,Company
1699384,UPC,University
145932525,UB,University
48529221,CNL,Company
29466417,UB,University
1684840,CNL,Company
1739571,UB,University
40359594,UB,University
36772245,UB,University
3234561,UPC,University
1890470,UPC,University
3171446,UB,University
1746586,UB,University
1690950,CNL,Company
50829125,UPC,University
48017500,UPC,University
1928104,UPC,University
47616253,UB,University
2074440,CNL,Company
2186496,CNL,Company
34279538,UB,University
3175945,CNL,Company
145818851,UB,University
144551170,UPC,University
2847964,UB,University
144472649,UPC,University
113011047,UPC,University
36829932,UB,University
1713521,CNL,Company
30679544,UB,University
145208073,UPC,University
7497091,UPC,University
31020008,UPC,University
1934394,CNL,Company
145747532,UPC,University
145187757,UB,University
144055224,UPC,University
2244761,UPC,University
40527599,UPC,University
2598542,CNL,Company
49347140,UPC,University
1803268,UPC,University
1394165498,UPC,University
2410859,CNL,Company
40586342,CNL,Company
7536013,UPC,University
1694042,UPC,University
1774323,CNL,Company
145428541,CNL,Company
144047501,CNL,Company
3230071,UPC,University
1720972,CNL,Company
66249190,UPC,University
1704052,CNL,Company
2507783,UB,University
2841320,UPC,University
49934897,UPC,University
29985683,UPC,University
3195765,CNL,Company
7250999,CNL,Company
144704075,UB,University
1747970,UB,University
1732493,UB,University
1791875,UPC,University
70180972,UB,University
40221143,UB,University
1735759,UB,University
28909632,CNL,Company
2999360,CNL,Company
1762035,UB,University
1773079,CNL,Company
1765230,UB,University
49944119,UB,University
1756280,UB,University
1688353,UPC,University
28000602,UB,University
9756930,CNL,Company
1957870,UPC,University
9260511,CNL,Company
49268322,UB,University
49307594,UPC,University
145623854,UPC,University
1724704,UPC,University
70104819,CNL,Company
3243521,CNL,Company
144346837,UB,University
144942805,CNL,Company
30976170,UB,University
48397614,CNL,Company
50535465,UB,University
2105225,UPC,University
32445051,UB,University
3104898,CNL,Company
2322901,CNL,Company
2368178,UB,University
33830008,UB,University
144233950,UB,University
2997281,UB,University
144965672,UB,University
48508518,CNL,Company
9489085,UB,University
1690890,CNL,Company
144833426,CNL,Company
144764556,UB,University
48185951,UB,University
3427048,UPC,University
1789788,UPC,University
71661741,CNL,Company
1761388,UB,University
1765345,CNL,Company
2759486,UB,University
2317068,UPC,University
1766318,CNL,Company
4743374,UB,University
2085749,UPC,University
35889169,CNL,Company
70252671,UB,University
31121196,CNL,Company
1407416645,CNL,Company
1741420,CNL,Company
40131930,UB,University
50311449,UPC,University
144748959,UB,University
145620586,UB,University
143792458,UPC,University
50491777,CNL,Company
3347128,UPC,University
34811323,UB,University
1807757,UPC,University
144609699,UPC,University
1702988,UB,University
1816285,CNL,Company
1692435,CNL,Company
145319395,UPC,University
3350685,CNL,Company
39376048,CNL,Company
2450381,UB,University
40147882,UB,University
3329856,CNL,Company
2623209,UPC,University
46214571,UB,University
1476711335,CNL,Company
1381260894,UPC,University
1500386978,CNL,Company
50262221,UPC,University
47573929,UPC,University
47180545,UB,University
144947284,UB,University
2050988,UB,University
1745117,UB,University
2628881,UPC,University
2887330,UPC,University
144521885,CNL,Company
1722033,UPC,University
48666867,UB,University
1726302,UPC,University
145673180,UPC,University
3143064,UPC,University
102706041,UB,University
2468853,UB,University
1684423,UB,University
1706448,CNL,Company
1772311,UPC,University
143993045,CNL,Company
1856041,CNL,Company
2944718,CNL,Company
145805108,UB,University
2219893,UPC,University
144775794,UPC,University
48445942,CNL,Company
2136703,UB,University
34678777,CNL,Company
38933347,UB,University
47893220,UB,University
1810961,UPC,University
47103743,UB,University
145593108,UB,University
8944642,UB,University
1695898,CNL,Company
145373188,UB,University
67340729,UPC,University
67319486,UB,University
1794138,UB,University
3243631,UPC,University
144417575,UB,University
1835113,CNL,Company
145319396,UPC,University
2252379,UPC,University
2101101,UPC,University
1927905,UB,University
1885198,UB,University
50098782,UPC,University
1698194,UPC,University
1693213,UPC,University
1716549,UPC,University
3293051,CNL,Company
50082681,CNL,Company
1730455,CNL,Company
40375162,CNL,Company
144088369,UB,University
33904187,UPC,University
145122924,CNL,Company
145503180,UB,University
1759608,UB,University
39261035,UB,University
1708593,UB,University
144666776,UPC,University
144488755,UB,University
143669700,UPC,University
1681127,UB,University
1738153,UPC,University
2280795,UB,University
31494849,UPC,University
34451395,CNL,Company
1730778,CNL,Company
3490937,CNL,Company
3490776,UPC,University
4831523,UPC,University
66721422,CNL,Company
38066103,CNL,Company
39416754,CNL,Company
37792929,UPC,University
1728841,UB,University
143971088,UB,University
1891354,UB,University
2209054,UB,University
1807083,UB,University
1720651,UPC,University
3475033,UB,University
145644552,UPC,University
2921272,UB,University
2962908,UB,University
1692856,CNL,Company
1723116,UPC,University
70381109,UPC,University
11599235,UPC,University
47839649,CNL,Company
143766571,CNL,Company
1401398678,UB,University
48213361,CNL,Company
46618368,CNL,Company
1681426,UB,University
1682058,UPC,University
3035204,UB,University
3370685,UPC,University
7185067,CNL,Company
2530334,UB,University
52186113,CNL,Company
2253372,UB,University
2319559,CNL,Company
31748494,UPC,University
1571598097,UB,University
2283757,CNL,Company
46286114,UPC,University
50599175,UB,University
47899254,UPC,University
3453714,UB,University
145045687,CNL,Company
144574744,UPC,University
2437576,UB,University
8503838,UPC,University
1685870,UPC,University
47549916,UB,University
123827830,UB,University
145916712,CNL,Company
39584130,UB,University
145615185,UB,University
1393562740,UPC,University
1399395131,UPC,University
2014203,UPC,University
1802560,CNL,Company
145354960,UB,University
2886656,CNL,Company
144356778,UB,University
35482339,UPC,University
1777278,UB,University
1691220,UB,University
1439780037,UB,University
2042119288,UB,University
144367814,CNL,Company
9651269,CNL,Company
70559029,UB,University
3231079,CNL,Company
1716440,CNL,Company
50545571,UB,University
145059332,UPC,University
30936098,CNL,Company
1692170,CNL,Company
2556294,CNL,Company
34514764,UPC,University
2009237,UB,University
1776321,UPC,University
1913952,CNL,Company
2673209,UB,University
37323805,UPC,University
40518000,UB,University
1774928,CNL,Company
1682380,CNL,Company
145947769,UPC,University
48767470,UB,University
143606772,UB,University
70010026,UB,University
49469691,UB,University
1716453,CNL,Company
2371119,UB,University
1820028,CNL,Company
1733783,CNL,Company
34992647,CNL,Company
1753890,CNL,Company
50690602,UPC,University
70146442,UPC,University
1722034,CNL,Company
14750514,UB,University
144294250,CNL,Company
145664069,CNL,Company
27992816,UB,University
1730103,UB,University
38014784,UPC,University
1742884,UPC,University
144146558,CNL,Company
145645047,UPC,University
80386192,CNL,Company
3318010,UB,University
2995355,UPC,University
2674733,UB,University
1681589,UB,University
152401883,UPC,University
47775409,UB,University
3346327,CNL,Company
1681842,UPC,University
1773401,UB,University
2322328,CNL,Company
145405953,UPC,University
96657065,UB,University
52091741,CNL,Company
40567112,CNL,Company
1708915,CNL,Company
3330904,UPC,University
35100406,CNL,Company
1796640,UB,University
1726204,UB,University
9661720,UPC,University
2051300404,CNL,Company
2051285970,UB,University
3180632,UPC,University
145727192,CNL,Company
46252429,UPC,University
30607805,UB,University
98174078,UB,University
46996518,UPC,University
1741251,UB,University
1717610,UB,University
100504516,UB,University
73560943,CNL,Company
103154681,CNL,Company
144719595,UPC,University
1707246,UPC,University
150015376,UB,University
143877362,UB,University
2232482,CNL,Company
10363173,UPC,University
2929925,UB,University
2156590,CNL,Company
2046855,UPC,University
70666933,UB,University
2946117,UPC,University
2421500,UPC,University
72151481,UB,University
1398022789,CNL,Company
1742121,UB,University
38475755,UPC,University
2484540,UPC,University
41136118,UPC,University
1694591,UB,University
1705764,UPC,University
32524198,UPC,University
1794262,CNL,Company
2956815,UB,University
145884252,CNL,Company
3433078,UB,University
2725245,UPC,University
144123446,UPC,University
2792225,UPC,University
30717287,UB,University
2279096,CNL,Company
144977963,UPC,University
9138338,UPC,University
50218078,UB,University
2060156,UB,University
35999101,UPC,University
1753426,CNL,Company
32824268,CNL,Company
2865544,CNL,Company
52282699,UB,University
143627656,UB,University
48541082,CNL,Company
145638418,UB,University
2248784,UB,University
2495797,UPC,University
46736066,UPC,University
120537391,UB,University
2552967,UPC,University
145884827,UPC,University
1701476,CNL,Company
2273684,UPC,University
143906109,UB,University
145302467,UB,University
1387988457,UB,University
1848961,CNL,Company
49890124,UB,University
50829676,UPC,University
144033366,UPC,University
18997752,CNL,Company
1685913,CNL,Company
2111702,UPC,University
144632810,UB,University
144954808,UPC,University
2821061,CNL,Company
70093401,CNL,Company
1810457,UB,University
49684997,UB,University
1721681,UB,University
1679226,UB,University
1714472,CNL,Company
1720195,UPC,University
16234495,CNL,Company
31486881,UB,University
29911355,UPC,University
134016636,UPC,University
108281811,CNL,Company
49092892,CNL,Company
40510990,UB,University
144494246,CNL,Company
40116245,UPC,University
28122834,UB,University
144394618,UPC,University
145561632,UPC,University
1715172,UPC,University
1698430,UB,University
144035765,UB,University
143661592,UPC,University
1910651,CNL,Company
2566013,UB,University
145132316,UB,University
10716613,CNL,Company
31038749,CNL,Company
2139055,UPC,University
9253383,UB,University
145547886,UPC,University
48212513,CNL,Company
38851695,UPC,University
4396395,UB,University
144436174,CNL,Company
1974207,CNL,Company
1835841,UB,University
1715494,UPC,University
2581022,UPC,University
3377811,UB,University
2311453,UPC,University
2379279,UPC,University
46571991,UB,University
49890108,CNL,Company
50762511,UPC,University
40410897,UB,University
2132022,UPC,University
2114172,CNL,Company
2900255,CNL,Company
1771085,UB,University
145902418,UPC,University
92374467,UB,University
3267765,CNL,Company
145464035,CNL,Company
37947595,UB,University
3322673,UB,University
1961468,UB,University
144958145,CNL,Company
3348152,UB,University
1473402910,UB,University
1446567747,UB,University
46221958,UPC,University
2864039,UPC,University
3436016,UPC,University
50474159,UPC,University
39989278,UPC,University
4183101,CNL,Company
3218980,UPC,University
1774774,UPC,University
2923064,CNL,Company
144139562,UB,University
40545686,CNL,Company
48565837,CNL,Company
145620556,CNL,Company
47484866,CNL,Company
3031409,CNL,Company
145927756,UB,University
1713644,UPC,University
2259796,CNL,Company
144976091,CNL,Company
2696978,UPC,University
1751931,UPC,University
1878020,UB,University
1788828,UPC,University
2994475,UB,University
1796271,CNL,Company
1691440,UPC,University
47782655,UPC,University
1847995,UPC,University
1820162,CNL,Company
32730804,CNL,Company
2381763,UB,University
9142047,UPC,University
8435073,UB,University
9284891,UPC,University
119641237,UB,University
40235164,UB,University
145456135,UPC,University
2589833,CNL,Company
1388677326,CNL,Company
1795167,UB,University
1716013,UPC,University
113027938,CNL,Company
3189943,UPC,University
1790617,CNL,Company
117509543,CNL,Company
2334026,CNL,Company
108404376,CNL,Company
3278328,UB,University
2550463,UB,University
72381424,UPC,University
40399629,UPC,University
1806855,UB,University
3221470,UPC,University
34829115,UB,University
2138394,UB,University
40417267,CNL,Company
40237192,CNL,Company
143844099,UB,University
1715491,UPC,University
34823484,UB,University
2239842,UPC,University
2069442,CNL,Company
11896684,CNL,Company
49990142,UPC,University
144194042,UPC,University
70366411,UPC,University
1409504443,UB,University
2765324,UPC,University
31692901,CNL,Company
143848922,UB,University
2165465,UB,University
145733816,UPC,University
1782658,UB,University
3247917,CNL,Company
2376538,CNL,Company
3255510,UB,University
82849900,CNL,Company
71219360,UB,University
51036717,UB,University
120346682,UPC,University
47278236,CNL,Company
11125096,CNL,Company
1708015,CNL,Company
50052425,UB,University
49514984,UB,University
1401528866,UB,University
1403630603,UB,University
38863887,CNL,Company
1769269,UB,University
17309708,CNL,Company
3331403,UPC,University
144628476,UPC,University
3201114,UPC,University
1749931,UB,University
145717044,UPC,University
1714465,CNL,Company
1735168,UB,University
3070417,CNL,Company
50535672,CNL,Company
153203998,CNL,Company
1696918,CNL,Company
1752950,CNL,Company
49176681,CNL,Company
48515089,UPC,University
39122448,UB,University
144318006,CNL,Company
1919008,CNL,Company
40960935,UPC,University
40119704,CNL,Company
2530253,UPC,University
145531251,UB,University
30681701,CNL,Company
3094765,UB,University
145368975,CNL,Company
145797788,UPC,University
1703035,UPC,University
9369189,CNL,Company
1726963,CNL,Company
1744839,UPC,University
2385343,CNL,Company
46447747,UB,University
50053247,UB,University
143803348,UPC,University
48319305,UPC,University
2460855,CNL,Company
3224192,UB,University
145009168,CNL,Company
1729468,UPC,University
2366080,UB,University
2491997,CNL,Company
1745763,UB,University
143733939,UB,University
34713352,UPC,University
1760062,UPC,University
1679902,UB,University
1950679,UPC,University
143602398,UB,University
7885933,UB,University
2315783,CNL,Company
1761835,UPC,University
2972982,CNL,Company
2065349,UB,University
144938066,UPC,University
1716881,CNL,Company
1679666,CNL,Company
46935678,CNL,Company
47558464,CNL,Company
1806118,UB,University
1410647893,UB,University
1403028553,UPC,University
1414212411,CNL,Company
152501784,UB,University
1394188292,UB,University
1411246523,UB,University
40425345,UB,University
89903566,UPC,University
2744479,CNL,Company
1561592847,UB,University
9237613,UB,University
51894989,UB,University
4067755,UPC,University
73488360,UB,University
1382498861,UPC,University
1744556777,UPC,University
1421142550,UB,University
4405456,UPC,University
103151690,CNL,Company
2270764,UB,University
145875533,UPC,University
2498771,CNL,Company
1694826,UPC,University
1683333,CNL,Company
4941376,UPC,University
1728677,UB,University
143770269,UB,University
145313655,CNL,Company
27046274,CNL,Company
30737548,CNL,Company
144071615,UPC,University
2398663,UB,University
1812012,UB,University
2027860,UB,University
34681573,UB,University
1798357,UPC,University
114294730,CNL,Company
35554623,UB,University
94916636,CNL,Company
48099504,UPC,University
152673421,UB,University
108038866,CNL,Company
1926857,UB,University
1413792617,CNL,Company
9298165,UPC,University
144828136,CNL,Company
145775586,CNL,Company
144928538,UPC,University
29962714,CNL,Company
50619661,CNL,Company
47786973,CNL,Company
3446817,UB,University
66949760,CNL,Company
3030477,UPC,University
121284863,UB,University
143863048,CNL,Company
1860422,UPC,University
2575991,UB,University
1761662,UPC,University
147366399,UB,University
1730606,UPC,University
31882367,UPC,University
82470872,UB,University
122148422,UB,University
120046798,CNL,Company
9173374,UB,University
50546246,CNL,Company
34117315,UPC,University
2195484,CNL,Company
48152154,CNL,Company
31232981,UPC,University
72560590,CNL,Company
49896287,UB,University
47475792,CNL,Company
9114768,UPC,University
31009085,UPC,University
47561043,CNL,Company
30730583,UB,University
145801638,CNL,Company
1685743,UB,University
1693267,CNL,Company
40075749,UB,University
37916065,UB,University
144996081,UB,University
8880101,CNL,Company
2750379,UB,University
3223037,UB,University
153100518,UB,University
144809527,CNL,Company
49310934,UPC,University
144087529,UPC,University
144477199,CNL,Company
144365993,CNL,Company
145262558,UB,University
1403863825,CNL,Company
1389946311,CNL,Company
144764494,CNL,Company
2213943,UPC,University
145788513,UB,University
37564356,CNL,Company
9461562,UB,University
8832625,UB,University
2625996,UB,University
144927958,CNL,Company
1704643,UPC,University
107633102,UPC,University
38639538,CNL,Company
1972110,UPC,University
1686448,UB,University
33876133,UB,University
145914256,UB,University
2881771,CNL,Company
73592916,CNL,Company
1409536178,UB,University
88952106,UPC,University
7029378,UB,University
81880271,UB,University
83544272,UB,University
145046519,CNL,Company
33636576,UB,University
144170135,CNL,Company
9438573,UB,University
47848234,UPC,University
2481886,CNL,Company
50171564,CNL,Company
143927003,UB,University
2252451,CNL,Company
1780634,UPC,University
7499892,UPC,University
145551866,CNL,Company
1788031,UB,University
39665190,UPC,University
1769779,UPC,University
3013982,UB,University
2358475,CNL,Company
1847733,CNL,Company
7818548,UPC,University
145816343,CNL,Company
40013369,UPC,University
1740564,UPC,University
145982973,UPC,University
145446632,UB,University
144555562,CNL,Company
36209164,CNL,Company
92884458,UPC,University
145318418,CNL,Company
9377731,UB,University
2082333,UPC,University
2706406,UB,University
1728597,CNL,Company
1680676,UB,University
46667034,CNL,Company
2283421,CNL,Company
144298926,UB,University
2385480,UPC,University
3145778,UPC,University
1696277,UB,University
49762743,CNL,Company
144889913,UB,University
2248317,UB,University
2729507,UB,University
153569621,UB,University
2728125,UPC,University
1690665,UPC,University
46774404,CNL,Company
2631510,UB,University
20747085,UB,University
6445951,UB,University
3273400,UB,University
40426355,UPC,University
144643224,UPC,University
69021985,UPC,University
66520035,UB,University
31641841,UB,University
46508937,UPC,University
3047402,CNL,Company
2327080,UB,University
145590185,CNL,Company
1856878,CNL,Company
3441349,CNL,Company
143972996,UB,University
152859374,UPC,University
3735738,UPC,University
47142435,UPC,University
122638818,CNL,Company
145564448,UPC,University
3109979,CNL,Company
1746764,UB,University
1743075,CNL,Company
6871819,UB,University
47103221,UB,University
145528658,UPC,University
145805107,CNL,Company
2251711,CNL,Company
2987000,UPC,University
2352471,UB,University
1768623522,CNL,Company
144838224,UPC,University
50201976,CNL,Company
75130064,UPC,University
39671993,CNL,Company
1779977,UPC,University
50744930,CNL,Company
9227801,UB,University
9355637,UB,University
2091911,UB,University
2473296,UPC,University
1802786,CNL,Company
144769367,UPC,University
153290600,CNL,Company
144144892,CNL,Company
2797738,UB,University
32595262,CNL,Company
103615578,CNL,Company
1734828,UB,University
23626296,UPC,University
34824728,UPC,University
144840501,UPC,University
144640605,UPC,University
145502223,CNL,Company
1398539214,UPC,University
145340797,CNL,Company
46753598,CNL,Company
145180588,UB,University
144655602,CNL,Company
37623105,UPC,University
1807467,UB,University
47903949,UPC,University
145483154,UB,University
8227498,UPC,University
38829278,CNL,Company
143835814,CNL,Company
9772059,UPC,University
144755752,UB,University
1834528,UB,University
1723925,UPC,University
144613191,CNL,Company
47238843,UPC,University
2506660,CNL,Company
2182884,CNL,Company
2052213,CNL,Company
