doi,title,abstract,publication_date
10.1007/BF00267044,On the algebraic specification of infinite objects — ordered and continuous models of algebraic types,SummaryThe concept of algebraic types is adapted to allow axiomatic characterizations of ordered and continuous algebras; infinite objects are then limit points in the carriers of certain continuous algebras. We mainly study implicative types  i.e.  types the axioms of which are conditional inequations describing partial orders. The isomorphism classes of termgenerated ordered models of an implicative type are shown to form a complete lattice under the homomorphism ordering; this includes the wellknown initiality results for equational and conditional types as special cases. For types whose axioms specify strictness of the operations  the initial models are shown to correspond to flat domains.As a special kind of continuous algebras we consider inductively generated algebras  viz. the ideal completions of term-generated ordered algebras. For an inequational type  i.e.  an implicative type where all axiom premises are empty  the completion of models always yields models again  whereas for implicative types this holds only in restricted cases. One such case is provided by hierarchic types which are complete and consistent relative to their primitive parts  and which satisfy certain conditions about limit points.Examples of algebras that can be specified by such types include those of finite and infinite streams  of sets of atoms under the Egli-Milner ordering  Milner's synchronisation trees  and that of a simple functional language over the natural numbers.,2011-03-20
10.1007/BF01178920,Object inheritance beyond subtyping,A categorial semantic domain for objects is presented in order to clarify both aggregation and specialization. Three kinds of specialization are discussed: (1) subtyping (specialization with no side effects and no non-monotonic overriding); (2) monotonic specialization (possibly with side effects but still only with monotonic overriding); and (3) non-monotonic specialization (possibly with side effects and non-monotonic overriding). A sequence of three categories of objects differing only in the morphisms is presented. The first one is used to explain object aggregation (respecting locality through a frame constraint) and the strictest form of specialization (subtyping). The second category is shown to be adequate for explaining specialization with side effects (by relaxing the frame constraint). Finally  the third category supports also non-monotonic overriding  by adopting as morphisms suitable partial morphisms of the second one. All these categories are complete and cocomplete. Colimits are used for explaining the semantics of aggregation and multiple inheritance.,2013-03-20
10.1007/BF00263577,Rational index of Vector Addition Systems languages,SummaryThe rational index ρL of a non-empty language L is a function of ℕ into ℕ  whose asymptotic behavior can be used to classify languages. We prove that the languages associated to Vector Addition System or Petri nets have rational indexes bounded by polynomials. This situation should be contrasted with the case of context-free languages. Indeed some context-free languages like the Greibach's languages have rational indexes bounded by polynomials. But some other context-free languages have rational indexes in exp Θ n and the generators of the rational cone of context-free languages have rational indexes in exp Θ n2/ln n. We give an upper bound and a lower bound on the rational index of each term of an infinite sequence of V.A.S. languages  such that any V.A.S. language can be obtained as the image by a rational transduction of one of these languages.,2015-03-20
10.1007/s00236-009-0091-x,A theory of structural stationarity in the π-Calculus,Automata-theoretic representations have proven useful in the automatic and exact analysis of computing systems. We propose a new semantical mapping of π-Calculus processes into place/transition Petri nets. Our translation exploits the connections created by restricted names and can yield finite nets even for processes with unbounded name and unbounded process creation. The property of structural stationarity characterises the processes mapped to finite nets. We provide exact conditions for structural stationarity using novel characteristic functions. As application of the theory  we identify a rich syntactic class of structurally stationary processes  called finite handler processes. Our Petri net translation facilitates the automatic verification of a case study modelled in this class.,2015-03-20
10.1007/s00236-015-0247-9,Optimal covers in the relational database model,The problem of finding an optimal cover which has possible fewest attributes is NP-complete. It is shown here that an optimal cover can be found  using the notion of mini cover. The minimum Boolean expression of the first Delobel–Casey transform of a set of functional dependencies can be converted into corresponding mini cover  refining classic canonical cover. The relationship between optimal cover and Boolean expression minimization is built  and all theory of Boolean expression minimization can be used to find an optimal cover.,2017-03-20
10.1007/BF00290735,A lower time bound for the knapsack problem on random access machines,SummaryWe consider random access machines which read the input integer by integer (not bit by bit). For this computational model we prove a quadratic lower bound for the n-dimensional knapsack problem. For this purpose  we combine a method due to Paul and Simon [1] to apply decision tree arguments to random access machines (with indirect storage access!) and a method due to Dobkin and Lipton [2] who proved the same lower bound for linear decision trees.,2020-03-20
10.1007/BF01191722,Models for reactivity,A hierarchy of models that capture realistic aspects of reactive  real-time  and hybrid systems is introduced. On the most abstract level  the qualitative (non-quantitative) model ofreactive systems captures the temporal precedence aspect of time. A more refined model is that ofreal-time systems  which represents the metric aspect of time. The third and most detailed model is that ofhybrid systems  which allows the incorporation ofcontinuous components into a reactive system.For each of the three levels  we present a computational model  a requirement specification language based on extensions of temporal logic  system description languages based on Statecharts and a textual programming language  proof rules for proving validity of properties  and examples of such proofs.,2011-03-20
10.1007/BF00288535,Applications of efficient mergeable heaps for optimization problems on trees,SummaryIt is shown how to use efficient mergeable heaps to improve the running time of two algorithms that solve optimization problems on trees.,2020-03-20
10.1007/s00236-007-0058-8,Optimal semi-online algorithms for preemptive scheduling problems with inexact partial information,In semi-online scheduling problems  we always assume that some partial additional information is exactly known in advance. This may not be true in some application. This paper considers semi-online problems on identical machines with inexact partial information. Three problems are considered  where we know in advance that the optimal value  or the largest job size are in given intervals  respectively  while their exact values are unknown. We give both lower bounds of the problems and competitive ratios of algorithms as functions of a so-called disturbance parameter r ∈[1  ∞). We establish for which r the inexact partial information is useful to improve the performance of a semi-online algorithm with respect to its pure online problem. Optimal preemptive semi-online algorithms are then obtained.,2014-03-20
10.1007/BF00289511,Bounds on algorithms for string generation,SummaryThe well-known lower bound of log2n! on the number of comparisons required to sort n items is extended to cover algorithms  such as replacement selection  which produce a sorted string whose length is a random variable. The case of algorithms which produce several strings is also discussed and these results are then applied to obtain an upper bound on the length of strings produced by a class of string generation algorithms.,2014-03-20
10.1007/BF00289411,Two-symbol DOS systems generating regular languages,SummaryWe prove that it is decidable whether a two-symbol DOS system generates a regular language.,2020-03-20
10.1007/BF01177745,Efficient algorithms for checking the atomicity of a run of read and write operations,LetX1 ... Xc be variables shared by a number of processorsP1 ... Pq that operate in a totally asynchronous and wait-free manner. An operation by a processor is either a write to one of the variables or a read of the values ofall variables. Operations arenot assumed to be instantaneous and may arbitrarily overlap in time. A succession of possibly overlapping operationsa1 ... an (i.e.  a run) is said to be atomic  if these operations can be serialized in a way compatible with any existing precedences among them and so that any read operation returns for each variable the value of the most recent — with respect to the serialization — write operation on this variable. This paper examines the complexity of the combinatorial problem of testing a run for atomicity. First  it is pointed out that when there is only one shared variable or when only one processor is allowed to write to each variable  known theorems lead to polynomial-time algorithms for checking the atomicity of a run (the variable of the time-complexity function is the number of operations in the run). It is then proved that checking atomicity has polynomial-time complexity in the general case of more than one variables and with all processors allowed to read and write each variable. For the proof  the atomicity problem is reduced to the problem of consecutive 1s in matrices. The reduction entails showing a combinatorial result that might be interesting on its own.,2014-03-20
10.1007/BF00289577,Finite state relational programs,SummaryWe introduce a new class of programs  called Finite Relational Linear Programs (FRLP)  capable of modeling simple data processing applications. We analyze these programs with respect to tradeoffs between features they possess including the problems of equivalence and optimization. Algorithmic solutions are given to the two latter problems and others. Extensions are discussed in which a (part of) algorithmic solvability is lost. A unifying concept for this and previous work is presented.,2014-03-20
10.1007/s00236-008-0082-3,On decidability of LTL model checking for process rewrite systems,"AbstractWe establish a decidability boundary of the model checking problem for infinite-state
systems defined by Process Rewrite Systems (PRS) or weakly extended Process Rewrite Systems (wPRS)  and properties described by basic fragments of action-based Linear Temporal Logic (LTL) with both future and past operators. It is known that the problem for general LTL properties is decidable for Petri nets and for pushdown processes  while it is undecidable for PA processes.We show that the problem is decidable for wPRS if we consider properties defined by LTL formulae with only modalities strict eventually  strict always  and their past counterparts. Moreover  we show that the problem remains undecidable for PA processes even with respect to the LTL fragment with the only modality until or the fragment with modalities next and infinitely often.",2011-03-20
10.1007/s00236-014-0212-z,Letter from the Managing Editor,In June 2000 a meeting took place in the grand old building of the Technical University of Munich between Manfred Broy  Managing Editor of Acta Informatica since 1982  Hans Wossner from Springer-Verlag  and myself. We agreed that from August 2000 onward  I would take over the task of being the Managing Editor of Acta Informatica from Manfred Broy. It was of course an exciting and partially unknown task for me. A continuous stream of submissions from various topics had to be directed to suitable reviewers or other members of the Editorial Board in order to be evaluated for their quality. Finally  the positive or negative decisions had to be communicated to the authors. From the beginning I have been nicely supported by my secretary Andrea Goken  who held the initial contact to authors upon submission  kept files of all submissions  and contacted the production department of Springer-Verlag once the papers were accepted. I thank her very much! Hans Wossner and later Alfred Hofmann from Springer-Verlag kindly helped to arrange high-level organisational issues. Also  our cooperation with the production department  at first in Heidelberg and later in India  went very smooth throughout all these years inspite of changing contact persons. The quality of the papers was always the guiding principle in all our decisions. The active members of the Editorial Board helped a lot in shaping the profile of Acta Informatica  reflecting their varied research interests. Many thanks for their continuing support! Of course  nothing would have been achieved without the voluntary work of so many reviewers. Their names are acknowledged in the last issue of each Acta volume. I am pleased to say that Acta Informatica stays in demand for authors despite many competing publication venues. It is their high-quality contributions that have made up each of the Acta issues over the years. However  since I have been increasingsly called upon to take up other duties  I have decided that after 14years in office it is time for me to step down from my post as Managing Editor by the end of 2014. I shall stay on as ordinary member of the Editorial Board.,2018-03-20
10.1007/s002360050003,Accepting Zeno words: a way toward timed refinements,Abstract. Timed models were introduced to describe the behaviors of real-time systems and they were usually required to produce only executions with divergent sequences of times. However  when some physical phenomena are represented by convergent executions  Zeno words appear in a natural way. Moreover  time can progress if such an infinite execution can be followed by other ones.Therefore  in a first part  we extend the definition of timed automata  allowing to generate sequences of infinite convergent executions  while keeping good properties for the verification of systems: emptiness is still decidable.In a second part  we define a new notion of refinement for timed systems  in which actions are replaced by recognizable Zeno (timed) languages. We study the properties of these timed refinements and we prove that the class of transfinite timed languages is the closure of the usual one (languages accepted by Muller or Büchi timed automata) under refinement.,2015-03-20
10.1007/BF00263195,An alternative implementation of an insertion-only recovery technique,SummaryIn an earlier paper [7] Fischer  Milton and Quiring developed algorithms for insertion-only error recovery. In related work [3] a simple factorisation lemma for error repairs was developed; by applying this lemma to the work of Fischer  Milton and Quiring their implementation is simplified and storage requirements reduced though there may be a small penalty in the execution time of the algorithm. In addition some flaws in their theoretical analyses are corrected and an alternative to the “immediate error detection property” is proposed.,2017-03-20
10.1007/BF01210597,Infinitary parallelism without unbounded nondeterminism in CSP,The theory of CSP is extended to include an infinitary parallel composition operator. The presence of such an operator allows us to write programs where infinitely many agents compute concurrently. We show that this operator can be modelled within the failures-divergences model of Brookes and Roscoe. The operator is continuous in each of its arguments  and in fact preserves the limits of almost all chains in the infinitary product c.p.o. We also demonstrate that this operator adds to the expressive power of CSP. A comparison of this operator with that defined by Barrett [1] is also provided.,2014-03-20
10.1007/s002360050074,"Decidability of model checking for infinite-state concurrent systems 
",Abstract.We study the decidability of the model checking problem for linear and branching time logics  and two models of concurrent computation  namely Petri nets and Basic Parallel Processes.,2019-03-20
10.1007/BF00289413,On the semantics of polymorphism,SummaryA semantic characterization is given of the terms of a simple applicative language which it can be assigned a (monomorphic or polymorphic) type. Moreover a strong completeness result is proved for a (nontrivial) subset of terms (corresponding to the normal forms of a lambda-calculus plus constants). Completeness does not hold in general.,2014-03-20
10.1007/BF00289146,Expected behaviour of B+-trees under random insertions,SummaryFringe analysis is used to study the behaviour of B+-trees (B-trees where all the records are stored in the leaves) under random insertions. We obtain bounds for the expected memory utilization and the expected number of accesses to secondary memory per insertion of trees built using the usual insertion algorithm  the B* overflow handling technique  and other techniques derived from the latter. Several other performance measures are also derived  such as bounds for the number of index nodes  the expected height  the expected number of splits per insertion  and the probabilities of 0  1 and 2 or more splits per insertion. Special emphasis is placed on 2–3 trees. A technique for concurrency in B+-trees is also analyzed.,2013-03-20
10.1007/BF00288964,Hex ist PSPACE-vollständig,SummaryThere are a number of board games such as Checkers [2]  Go [5]  and Gobang [8]  which are known to be PSPACE-hard. This means that the problem to determine the player having a winning strategy in a given situation on an n×n board of one of these games is as hard to solve as everything computable in polynomial space. PSPACE-completeness has been previously proven for some combinatorial games played on graphs or by logical formulas [1  9].In this paper we will show that the same holds for the game of Hex. The crucial point of the proof is to establish PSPACE-hardness for a generalization of Hex played on planar graphs. This will be done by showing that the problem  whether a given quantified Boolean formula in conjunctive normal form is true  is polynomial time-reducible to the decision problem for generalized Hex. In order to do this we will use methods  which were also used to prove PSPACE-completeness of planar Geography in [5]. Therefore our proof is quite different from the proof provided by Even and Tarjan [1]  who showed PSPACE-completeness of generalized Hex played on arbitrary graphs. Since it is easy to see that the decision problem for Hex is in PS PACE  the decision problem for Hex is PSPACE-complete.,2013-03-20
10.1007/BF00288934,A model of a time sharing virtual memory system solved using equivalence and decomposition methods,SummaryA queueing network model of a time-sharing multiprogramming virtual memory system is presented including the effect of memory sharing among processes. An approximate explicit solution is obtained using equivalence and decomposition methods.The influence of system and program behaviour parameters on system performance (mean response time and CPU utilization) is illustrated in the results obtained. The efficiency of controlling the degree of multiprogramming in order to prevent thrashing is also studied using a similar model.,2013-03-20
10.1007/BF00283329,Toward formal development of programs from algebraic specifications: Implementations revisited,SummaryThe program development process is viewed as a sequence of implementation steps leading from a specification to a program. Based on an elementary notion of refinement  two notions of implementation are studied: constructor implementations which involve a construction “on top of” the implementing specification  and abstractor implementations which additionally provide for abstraction from some details of the implemented specification. These subsume most formal notions of implementation in the literature. Both kinds of implementations satisfy a vertical composition and a (modified) horizontal composition property. All the definitions and results are shown to generalise to the framework of an arbitrary institution  and a way of changing institutions during the implementation process is introduced. All this is illustrated by means of simple concrete examples.,2013-03-20
10.1007/BF00289114,Constructing maximal slicings from geometry,SummaryWe present an optimal algorithm to determine whether a placement of N isothetic non-overlapping rectangles (macros) can be represented by a slicing tree  and if so  to find a representation of minimal height. A slicing is a recursive partition of the overall bounding rectangle  by straight horizontal or vertical cuts  into rectangular regions  each one containing exactly one macro. The algorithm first determines a representation of the empty space of the placement by means of maximally extended horizontal and vertical channels. A second phase then generates a maximal slicing tree (an ordered tree with unbounded degree and maximal branching  i.e.  minimal height) in a top-down fashion. The complexity of each phase is O(N log N). The problem arises in steps (1) and (2) of our top-down approach to VLSI custom chip design  which consists of (1) floorplanning by slicing  (2) hierarchicial global wiring  and (3) detailed layout of macros.,2013-03-20
10.1007/BF00264614,Simulation output analysis for local area computer networks,SummaryThis paper develops discrete event simulation methods for local area computer networks. We restrict attention to local network simulations with an underlying stochastic process that can be represented as a generalized semi-Markov process. Using a “geometric trials” criterion for recurrence  we establish a regenerative process structure for passage times in this setting. This leads to an estimation procedure for delay characteristics of ring and bus networks.,2017-03-20
10.1007/BF00263579,Analytic models for the primary site approach to fault-tolerance,SummaryA common approach for supporting fault tolerance against node failures is the primary site approach. In this approach the service to be made fault-tolerant is replicated at many nodes  one of which is designated as primary and the others as backups. All the requests for the service are sent to the primary site. The primary site periodically checkpoints its state on the backups. If the primary fails  one of the backups takes over as primary  and to maintain consistency  it first re-executes all the requests performed by the previous primary since the last checkpoint. Two important issues that effect performance of this approach are the frequency of checkpointing and the degree of replication of the service. If the checkpointing interval is decreased the overhead of reexecuting old requests decreases  but the overhead for checkpointing increases. If the degree of replication increases  on the one hand  the availability of the system for user services increases since the reliability of the system increases. On the other hand  the checkpointing time increases  which reduces the availability of the system. In this paper  we present an analytic model to study the optimum checkpointing interval  and a queuing model to study the optimum degree of replication for a service in a primary site system. The reliability of a primary site system is also studied.,2013-03-20
10.1007/BF00290730,Three measures for synchronic dependence in Petri nets,SummaryThree notions of distance for measuring the synchronic dependence of transition firings in Petri nets are studied. For the first two notions we present algorithms for obtaining a basis of the linear space of weight vectors for which the distance is finite  and methods for computing the distance for any given weight vector by examining a finite set of vectors obtained a priori. For the third notion of distance  the problem of deciding whether a given weight vector yields a finite distance is shown to be equivalent to the reachability problem. Finally it is shown that a basis of the linear space of weight vectors for which the weighted sum of token counts is bounded over all reachable markings can be obtained effectively. Also some complexity results are given.,2020-03-20
10.1007/BF00289044,Functional behavior in data spaces,SummaryIn order to verify that a nondeterministic sequential program is partially correct it is sufficient to establish the conjunction of two constituent properties: “weak” partial correctness and functional  that is reproducible  behavior. It is possible to continue this divide-and-conquer strategy for the concept of functional behavior. If the nondeterministic sequential program is derived from a set of interacting parallel processes then the functional behavior of the former can be expressed in terms of two weaker complementary properties of the latter: weak functional behavior and input/output liveness. The only remaining issue is input/output dependability: the absence of input/output livelock. The theoretical framework of data spaces is used to derive closure theorems for these constituent properties. For instance  it is shown that a system of weakly functional processes is again weakly functional.,2018-03-20
10.1007/BF00268138,A model of a virtual memory system,SummaryWe present a queueing network model of a virtual memory computer system including the effect of memory sharing among processes. Page fault and file request system overheads are explicitly taken into account. The fact that some memory pages have to be saved in the secondary memory at the moment of a page fault  is also taken into consideration. We obtain an approximate solution using an equivalence and decomposition approach. The effect of system and program behavior parameters (primary memory size  drum and disk characteristics  program locality  input-output rates and different pages ratios) as well as that of the total number of processes  are examined for two different system organizations. In the first one  all the processes share real core; in the second  processes having issued a file request lose their memory space until the I/O is performed.,2013-03-20
10.1007/BF00289062,The ‘Hoare logic’ of concurrent programs,SummaryHoare's logical system for specifying and proving partial correctness properties of sequential programs is generalized to concurrent programs. The basic idea is to define the assertion {P} S {Q} to mean that if execution is begun anywhere in S with P true  then P will remain true until S terminates  and Q will be true if and when S terminates. The predicates P and Q may depend upon program control locations as well as upon the values of variables. A system of inference rules and axiom schemas is given  and a formal correctness proof for a simple program is outlined. We show that by specifying certain requirements for the unimplemented parts  correctness properties can be proved without completely implementing the program. The relation to Pnueli's temporal logic formalism is also discussed.,2016-03-20
10.1007/s00236-004-0140-4,Trajectory-based codes,Abstract.The notion of shuffle on trajectories is a natural generalization of many word operations considered in the literature. For a set of trajectories T  we define the notion of a T-code and examine its properties. Particular instances of T-codes are prefix-  suffix-  infix-  outfix- and hyper-codes  as well as other classes studied in the literature.,2015-03-20
10.1007/BF00263745,Inherently nonplanar automata,SummaryIt is shown that for every finite-state automaton there exists an equivalent nondeterministic automaton with a planar state graph. However there exist finite-state automata with no equivalent deterministic automaton with a planar state graph.,2014-03-20
10.1007/BF00264015,Formal derivation of strongly correct concurrent programs,SummaryA method is described for deriving concurrent programs which are consistent with the problem specifications and free from deadlock and from starvation. The programs considered are expressed by nondeterministic repetitive selections of pairs of synchronizing conditions and subsequent actions. An iterative  convergent calculus is developed for synthesizing the invariant and synchronizing conditions which guarantee strong correctness. These conditions are constructed as limits of recurrences associated with the specifications and the actions. An alternative method for deriving starvationfree programs by use of auxiliary variables is also given. The applicability of the techniques presented is discussed through various examples; their use for verification purposes is illustrated as well.,2013-03-20
10.1007/BF00264294,General predicate transformer and the semantics of a programming language with go to statement,SummaryDijkstra's predicate transformer for specifying the semantics of guarded commands set and proving the total correcness of a program is generalized to a programming language with the go to statement. The concept of general predicate transformer and its properties are introduced. We explore the approach of proving the correctness — preserving property of some common program transformations that are used in the compiling process.,2020-03-20
10.1007/BF00276183,Extended directed graphs  a formalism for structured data and data structures,SummaryThis paper concerns the problem of definition and description of structured data. A formalism based on the notion of the extended directed graph is developed. Operations and data structure classes are defined. Properties of data structures are studied; in particular  the definition of a data structure by means of its operations is investigated.,2018-03-20
10.1007/s00236-008-0074-3,The fibers and range of reduction graphs in ciliates,The biological process of gene assembly transforms a nucleus (the MIC) into a functionally and physically different nucleus (the MAC). For each gene in the MIC (the input)  recombination operations transform the gene to its MAC form (the output). Here we characterize which inputs obtain the same output  and moreover characterize the possible forms of the outputs. We do this in the abstract and more general setting of so-called legal strings.,2015-03-20
10.1007/BF01185565,Expressibility of output equals input,We examine the common and seemingly simple specification that the output stream equals the input stream. We show that this is not in full generality expressible in first-order or temporal logic by an infinite set of sentences or a recursive specification  but requires certain extra assumptions  such as the existence of a clock or discrete input values.The main negative results are stated for first-order expressibility and have direct corollaries for inexpressibility in first-order temporal logic: output equals input with arbitrary delay is not expressible by a (perhaps infinite) theory (Theorems 2 and 3)  even with a timestamp (Theorem 8)  and is not expressible for an ω timeline by a sentence  even with a timestamp (Theorem 10). Output equals input with constant delay cannot be expressed for ω timeline by a sentence with extra unary predicates over the timeline.As an example of the positive results  we show output equals input can be expressed by a sentence in the language with a (weak) clock if the base model contains either an extra function (Theorem 14)  or arithmetic (Theorem 15).,2020-03-20
10.1007/BF02983373,Proof theory for exception handling in a tasking environment,SummaryIn this paper  we develop a syntax-directed proof system for a fragment of Ada consisting of the essential features of tasking and exception handling. The proof system is based on a correctness formula for therobust specification of single-entry-multiple-exit structures that provides a unified framework for exception handling mechanisms in the presence of nondeterminism  concurrency and communication. The proof system uses the technique ofco-operating proofs  which was developed for proving the correctness of communicating sequential processes [AFD80] and extended to a concurrent fragment of Ada in [GD84]. We build upon the latter. The soundness and completeness are established formally in [Lod87]. The proof rules are structured so that exceptions can be used as a structured escape mechanism in accordance with the design objectives of Ada. Examples are given to show how the rules highlight the annotation required for establishing the robustness of Ada programs.,2012-03-20
10.1007/BF01191723,Querying datalog programs with temporal logic,Temporal logic queries on Datalog and negated Datalog programs are studied  and their relationship to Datalog queries on these programs is explored. It is shown that  in general  temporal logic queries have more expressive power than Datalog queries on Datalog and negated Datalog programs. It is also shown that anexistential domain-independent fragment of temporal logic queries has the same expressive power as Datalog queries on negated Datalog programs with inflationary semantics. This means that for finite structures this class of queries has the power of the fixpoint logic.,2014-03-20
